step,type,loss,cumulative_time_ms,step_avg_ms
261,train,,182995,701.13
262,train,,183691,701.11
263,train,,184496,701.51
264,train,,185271,701.78
265,train,,185919,701.58
266,train,,186608,701.53
267,train,,187355,701.70
268,train,,188205,702.26
269,train,,188904,702.25
270,train,,189591,702.19
271,train,,190220,701.92
272,train,,190867,701.72
273,train,,191723,702.28
274,train,,192349,702.01
275,train,,192987,701.77
276,train,,193715,701.87
277,train,,194425,701.90
278,train,,195154,701.99
279,train,,195887,702.10
280,train,,196556,701.99
281,train,,197272,702.04
282,train,,197966,702.01
283,train,,198608,701.80
284,train,,199381,702.05
285,train,,200096,702.09
286,train,,200809,702.13
287,train,,201510,702.13
288,train,,202173,701.99
289,train,,202824,701.81
290,train,,203460,701.59
291,train,,204261,701.93
292,train,,205003,702.07
293,train,,205683,701.99
294,train,,206329,701.80
295,train,,207037,701.82
296,train,,207804,702.04
297,train,,208496,702.01
298,train,,209211,702.05
299,train,,210066,702.56
300,train,,210827,702.76
300,val,4.6631,210827,702.76
301,train,,211568,702.88
302,train,,212242,702.79
303,train,,212918,702.70
304,train,,213597,702.62
305,train,,214306,702.64
306,train,,214986,702.57
307,train,,215671,702.51
308,train,,216376,702.52
309,train,,217032,702.37
310,train,,217755,702.43
311,train,,218451,702.41
312,train,,219101,702.25
313,train,,219834,702.34
314,train,,220498,702.22
315,train,,221291,702.51
316,train,,222263,703.36
317,train,,223032,703.57
318,train,,223780,703.71
319,train,,224420,703.51
320,train,,225129,703.53
321,train,,225859,703.61
322,train,,226478,703.35
323,train,,227284,703.67
324,train,,228063,703.90
325,train,,228771,703.91
326,train,,229398,703.68
327,train,,230053,703.53
328,train,,230741,703.48
329,train,,231392,703.32
330,train,,232027,703.11
331,train,,232657,702.89
332,train,,233316,702.76
333,train,,234048,702.85
334,train,,234756,702.86
335,train,,235417,702.74
336,train,,236064,702.57
337,train,,236717,702.42
338,train,,237412,702.40
339,train,,238044,702.20
340,train,,238760,702.24
341,train,,239496,702.34
342,train,,240173,702.26
343,train,,240935,702.43
344,train,,241677,702.55
345,train,,242311,702.35
346,train,,242970,702.23
347,train,,243782,702.54
348,train,,244496,702.58
349,train,,245254,702.73
350,train,,245859,702.45
351,train,,246566,702.47
352,train,,247209,702.30
353,train,,247934,702.36
354,train,,248624,702.33
355,train,,249367,702.44
356,train,,250088,702.49
357,train,,250742,702.36
358,train,,251472,702.44
359,train,,252129,702.31
360,train,,252782,702.17
361,train,,253408,701.96
362,train,,254253,702.36
363,train,,254887,702.17
364,train,,255513,701.96
365,train,,256148,701.78
366,train,,256814,701.68
367,train,,257853,702.60
368,train,,258501,702.45
369,train,,259107,702.19
370,train,,259865,702.34
371,train,,260531,702.24
372,train,,261282,702.37
373,train,,261913,702.18
374,train,,262642,702.25
375,train,,263386,702.36
376,train,,264109,702.42
